1994-T1;1,7;44,0;9,1;0,0;3,9
1993-T4;1,6;42,5;9,2;0,0;3,8
1993-T3;1,5;41,4;9,2;0,0;3,7
1993-T2;1,4;40,9;9,2;0,0;3,7
1993-T1;1,6;42,7;9,2;0,0;3,7
1992-T4;1,6;44,6;9,2;0,0;3,8
1992-T3;1,6;45,4;9,2;0,0;3,8
1992-T2;1,7;45,4;9,1;0,0;3,8
1992-T1;1,7;46,9;9,1;0,0;3,8
1991-T4;1,8;46,9;9,0;0,0;3,7
1991-T3;1,8;47,2;8,8;0,0;3,6
1991-T2;1,8;46,1;8,7;0,0;3,5
1991-T1;1,7;46,3;8,6;0,0;3,5
1990-T4;1,7;47,0;8,5;0,0;3,5
1990-T3;1,6;45,6;8,4;0,0;3,4
1990-T2;1,6;45,1;8,4;0,0;3,4
1990-T1;1,7;45,6;8,3;0,0;3,4
1989-T4;1,8;46,6;8,2;0,0;3,4
1989-T3;1,7;44,2;8,1;0,0;3,4
1989-T2;1,8;44,7;8,0;0,0;3,3
1989-T1;1,8;43,0;7,8;0,0;3,2
1988-T4;1,7;40,7;7,5;0,0;3,1
1988-T3;1,7;39,3;7,3;0,0;3,0
1988-T2;1,6;36,9;7,2;0,0;2,9
1988-T1;1,6;35,9;7,2;0,0;2,8
1987-T4;1,7;35,8;7,3;0,0;2,8
1987-T3;1,6;34,0;7,3;0,0;2,7
1987-T2;1,7;33,2;7,4;0,0;2,6
1987-T1;1,7;32,6;7,3;0,0;2,5
1986-T4;1,7;31,0;7,3;0,0;2,4
1986-T3;1,7;31,4;7,2;0,0;2,3
1986-T2;1,7;32,1;7,2;0,0;2,3
1986-T1;1,7;32,8;7,2;0,0;2,2
1985-T4;1,7;35,2;7,2;0,0;2,2
1985-T3;1,8;34,8;7,3;0,0;2,2
1985-T2;1,8;35,4;7,2;0,0;2,1
1985-T1;1,8;36,2;7,2;0,0;2,1
1984-T4;1,7;34,8;7,1;0,0;2,0
1984-T3;1,8;32,5;6,9;0,0;2,0
1984-T2;1,8;32,6;6,7;0,0;1,9
1984-T1;1,7;32,5;6,5;0,0;1,8
1983-T4;1,7;30,6;6,2;0,0;1,7
1983-T3;1,6;29,0;6,0;0,0;1,6
1983-T2;1,5;28,6;5,8;0,0;1,7
1983-T1;1,5;28,9;5,7;0,0;1,7
1982-T4;1,5;29,5;5,5;0,0;1,8
1982-T3;1,4;28,8;5,4;0,0;1,7
1982-T2;1,3;27,5;5,2;0,0;1,7
1982-T1;1,3;26,4;5,1;0,0;1,6
1981-T4;1,3;26,0;5,0;0,0;1,6
1981-T3;1,2;24,6;4,9;0,0;1,6
1981-T2;1,2;22,9;4,7;0,0;1,5
1981-T1;1,1;22,3;4,3;0,0;1,4
1980-T4;1,1;21,6;4,0;0,0;1,3
1980-T3;1,1;21,1;3,7;0,0;1,3
1980-T2;1,1;20,6;3,5;0,0;1,2
1980-T1;1,1;20,1;3,3;0,0;1,2
1979-T4;1,0;18,1;3,1;0,0;1,1
1979-T3;1,1;17,2;3,0;0,0;1,1
1979-T2;1,0;15,6;2,9;0,0;1,1
1979-T1;1,0;14,5;2,9;0,0;1,0
1978-T4;1,0;13,7;2,8;0,0;1,0
1978-T3;1,0;12,9;2,8;0,0;0,9
1978-T2;1,0;13,0;2,7;0,0;0,9
1978-T1;1,0;12,8;2,6;0,0;0,9
1977-T4;1,0;12,4;2,5;0,0;0,9
1977-T3;1,0;12,3;2,4;0,0;0,9
1977-T2;1,0;12,2;2,3;0,0;0,9
1977-T1;1,0;12,1;2,3;0,0;0,9
1976-T4;0,9;12,1;2,2;0,0;0,8
1976-T3;0,8;11,6;2,1;0,0;0,8
1976-T2;0,7;10,6;2,0;0,0;0,7
1976-T1;0,6;9,8;1,9;0,0;0,7
1975-T4;0,6;8,8;1,8;0,0;0,7
1975-T3;0,6;8,1;1,7;0,0;0,6
1975-T2;0,6;8,0;1,7;0,0;0,6
1975-T1;0,6;8,3;1,7;0,0;0,6
1974-T4;0,6;9,2;1,8;0,0;0,6
1974-T3;0,6;9,8;1,8;0,0;0,5
